age;gender;employ;emplyoment_change;current_country;live_in_home_country;family_status;fami_cor;living_situation;livwadu;livwchi;time_leisure;gam_freq;beh_ch_general;beh_ch_single_player;beh_ch_coll;beh_ch_comp;beh_ch_conn;motives_play_1;motives_play_2;motives_play_3;motives_play_4;motives_play_5;motives_play_6;motives_play_7;motives_play_8;motives_play_9;motives_play_10;motives_play_11;motives_play_12;motives_play_13;motives_play_14;motives_play_15;motives_play_16;motives_play_17;motives_play_18;motives_play_19;motives_play_20;motives_play_21;motives_play_22;motives_play_23;motives_play_24;motives_play_25;loneliness_1;loneliness_2;loneliness_3;loneliness_4;loneliness_5;loneliness_6;loneliness_7;loneliness_8;loneliness_9;loneliness_10;loneliness_11;loneliness_12;loneliness_13;loneliness_14;loneliness_15;loneliness_16;loneliness_17;loneliness_18;loneliness_19;loneliness_20;loneliness_21;loneliness_1_rec;loneliness_5_rec;loneliness_6_rec;loneliness_10_rec;loneliness_11_rec;loneliness_16_rec;loneliness_17_rec;loneliness_20_rec;loneliness_21_rec;MOT_social;MOT_escape;MOT_competition;MOT_coping;MOT_skill;MOT_fantasy;Loneliness_sum
31;2;3; ;Germany;2;2;2;2;1;0;3;2;3;3;3;3;3;1;4;4;4;4;5;5;5;4;5;4;2;4;4;3;1;4;3;4;1;2;2;3;3;5;4;3;1;1;4;4;4;2;3;3;3;2;2;1;1;4;3;2;2;4;4;1;1;1;2;2;1;2;1;1;3,5;3,75;3,25;3,25;3,75;3,75;32
29;1;4; ;Germany;2;2;1;2;1;0;4;2;4;4;3;3;3;1;2;1;3;1;3;1;2;2;3;2;1;2;2;2;1;2;1;1;1;2;2;2;1;3;3;3;1;2;3;3;4;2;2;3;3;1;1;1;1;4;3;2;2;4;4;2;2;2;2;2;1;2;1;1;1,25;2;1,75;2,25;1,5;2;33
25;2;2; ;Germany;2;1;2;3;2;0;4;2;3;3;3;3;3;1;1;2;2;1;2;2;1;2;3;2;2;2;1;1;1;2;3;2;1;1;1;2;2;4;3;2;3;3;2;3;4;3;2;2;2;2;2;1;1;3;2;3;2;3;2;2;3;2;3;3;2;3;2;3;1,75;1;1,5;2;1,75;2,75;47
51;2;3; ;Germany;2;2;1;3;1;0;3;2;2;4;2;2;4;2;1;4;2;4;5;2;4;4;2;4;1;4;1;2;1;2;1;4;1;1;2;2;4;1;3;3;1;1;4;3;4;1;2;3;3;1;1;1;2;3;4;1;2;3;3;2;1;2;2;2;2;1;2;2;3;1,75;3;1,75;3,5;2;32
28;2;3; ;Germany;2;2;2;2;0;0;4;2;3;3;3;3;3;1;2;2;2;1;1;1;2;3;4;1;1;1;1;2;1;1;1;1;1;2;2;2;1;2;4;3;2;2;4;4;4;1;1;3;3;1;1;2;2;4;3;2;1;3;4;1;1;1;2;2;1;2;2;1;1;1,75;2,25;2,25;1;1,25;31
40;1;3; ;Austria;2;2;2;2;0;0;4;2;4;3;3;3;3;1;3;4;4;3;4;2;3;3;4;3;1;2;3;2;1;4;2;1;1;3;2;4;3;4;4;3;2;1;4;4;4;2;2;3;3;1;1;1;1;3;3;4;1;4;4;1;1;1;2;2;2;2;1;1;1,5;3;2,75;3,25;3,25;2,75;32
22;2;2; ;Germany;2;1;2;2;3;0;3;2;3;3;3;3;3;1;2;4;3;5;3;4;2;4;2;5;1;2;1;1;1;2;1;2;1;1;2;2;3;4;3;1;1;1;3;3;4;1;2;3;2;1;1;1;1;4;4;3;1;3;4;2;2;2;2;3;1;1;2;1;2,25;1,5;2,75;2;3,75;2,25;30
33;2;3; ;Germany;2;2;1;2;1;0;4;2;3;3;4;3;3;1;1;2;2;1;1;1;1;1;4;1;1;1;1;1;1;2;2;4;1;1;2;1;1;5;4;1;1;1;4;4;4;1;1;4;4;1;1;1;2;4;3;1;1;4;4;1;1;1;1;1;1;2;1;1;1,75;1;1,5;2;1,25;2,25;22
30;1;3; ;Germany;2;1;1;3;0;0;4;2;2;3;3;3;3;1;2;1;5;2;5;1;4;5;4;1;4;1;4;2;1;2;4;1;1;2;1;3;1;5;3;3;1;3;3;2;4;3;4;3;3;1;1;2;3;3;4;3;3;4;4;2;2;3;2;2;2;1;1;1;1;3;2,25;3,25;1,5;4,5;43
30;2;3; ;Germany;2;1;1;2;0;0;3;2;3;4;3;3;3;1;2;5;4;3;2;2;3;5;4;4;2;3;2;5;2;4;4;3;1;1;4;3;5;4;3;2;1;1;3;2;4;1;2;4;3;2;2;3;1;3;2;1;3;3;1;2;2;3;1;2;2;3;2;4;2,25;2;4,75;3,25;4;3;40
